timestamps population node_ids
358.25 v1 977
2279.0 v1 977
212.0 v1 9221
1571.0 v1 10117
2083.25 v1 10449
1165.25 v1 12435
332.0 v1 13025
2819.25 v1 20464
2736.0 v1 26547
1488.25 v1 21330
1902.5 v1 21330
1262.75 v1 24057
1635.0 v1 669
2943.25 v1 13960
444.0 v1 19603
2027.25 v1 20154
120.0 v1 20628
422.75 v1 21300
1172.5 v1 21300
1254.75 v1 21300
1738.75 v1 22244
2198.0 v1 23686
2752.75 v1 24097
2242.25 v1 24889
2917.5 v1 24889
1504.75 v1 178
1964.0 v1 178
632.0 v1 455
1061.0 v1 455
1100.75 v1 455
1834.25 v1 455
1170.25 v1 721
1546.5 v1 721
1896.0 v1 721
2877.25 v1 721
838.25 v1 928
1685.0 v1 2103
2028.5 v1 3116
2670.0 v1 3711
382.5 v1 4467
1322.0 v1 4467
1728.5 v1 4467
2345.75 v1 4467
2882.0 v1 5729
2201.0 v1 6291
427.0 v1 6393
960.5 v1 6393
1167.25 v1 6393
1727.25 v1 6393
2508.75 v1 6393
136.5 v1 6701
1256.5 v1 7261
2482.0 v1 7261
2706.5 v1 7261
264.75 v1 7855
2447.25 v1 7855
1450.5 v1 8135
2559.5 v1 8899
1197.5 v1 9908
1972.5 v1 9908
110.25 v1 11104
730.0 v1 11104
1255.5 v1 11104
1590.0 v1 11104
2145.0 v1 11104
2344.0 v1 11104
2540.75 v1 11104
1101.25 v1 11513
1361.75 v1 11513
1800.0 v1 11513
2035.25 v1 11513
75.25 v1 11682
420.5 v1 11682
937.5 v1 11682
1607.25 v1 11682
2589.75 v1 11682
1282.0 v1 12765
2358.0 v1 12765
2361.75 v1 12835
1014.75 v1 13374
2564.25 v1 13374
1884.25 v1 13747
289.75 v1 14061
503.0 v1 14431
1809.25 v1 15378
1915.75 v1 15834
146.0 v1 16268
975.25 v1 16268
2831.0 v1 16268
1509.25 v1 18151
2759.0 v1 18379
1135.75 v1 18654
1083.0 v1 19039
305.0 v1 19846
880.0 v1 19951
144.5 v1 20043
1166.25 v1 20043
691.5 v1 20175
1667.0 v1 20348
1549.5 v1 20715
2714.75 v1 20715
778.25 v1 20876
1118.25 v1 20876
2218.5 v1 20876
2837.5 v1 20876
1011.25 v1 21098
2230.75 v1 21188
1999.25 v1 21554
541.25 v1 22629
117.25 v1 22901
1727.25 v1 22901
2545.75 v1 22901
653.75 v1 23135
363.5 v1 23428
537.25 v1 23546
2479.5 v1 23546
1691.0 v1 24484
736.25 v1 24599
921.25 v1 24599
1798.0 v1 24599
694.0 v1 24915
658.0 v1 25026
2017.5 v1 25223
1738.5 v1 25474
747.5 v1 26426
652.5 v1 26566
2723.0 v1 10348
361.5 v1 15115
2574.25 v1 15115
436.5 v1 24320
1126.25 v1 24320
1064.0 v1 49603
857.25 v1 49687
124.5 v1 52423
1063.0 v1 69439
2351.25 v1 80695
1948.25 v1 82327
2687.25 v1 86673
1152.75 v1 84933
1227.75 v1 87546
1199.5 v1 87563
1982.0 v1 87563
2251.75 v1 87563
59.25 v1 87594
789.5 v1 87594
1608.75 v1 87594
2675.5 v1 87594
132.0 v1 87622
466.75 v1 87622
976.25 v1 87622
1485.75 v1 87622
1774.5 v1 87622
2093.0 v1 87622
2217.75 v1 87622
2752.75 v1 87622
1302.0 v1 87681
748.75 v1 87702
1615.0 v1 87702
2724.75 v1 87702
125.75 v1 87771
1759.0 v1 87771
2501.0 v1 87771
365.25 v1 87878
1498.5 v1 87907
2703.75 v1 87907
1589.25 v1 87943
2795.75 v1 87943
981.0 v1 87957
335.25 v1 88061
2565.0 v1 88061
986.25 v1 88129
1143.75 v1 88158
277.5 v1 88235
1181.25 v1 88235
1460.0 v1 88235
2695.75 v1 88235
1692.25 v1 88291
2004.0 v1 88291
987.75 v1 88364
1374.5 v1 88364
262.25 v1 88392
2913.75 v1 88392
552.5 v1 88410
1254.5 v1 88410
2590.25 v1 88410
2786.0 v1 88433
720.5 v1 88483
500.75 v1 88544
1080.0 v1 88544
1336.25 v1 88544
834.75 v1 88581
1798.5 v1 88581
99.0 v1 88604
630.5 v1 88604
1501.5 v1 88604
1836.5 v1 88604
2266.75 v1 88604
2881.5 v1 88604
433.75 v1 88640
1115.75 v1 88640
193.75 v1 88697
709.75 v1 88697
891.75 v1 88697
1186.5 v1 88697
1764.75 v1 88697
2107.0 v1 88697
1103.75 v1 88755
2498.25 v1 88788
214.25 v1 88931
1123.75 v1 88931
1553.75 v1 88931
1931.25 v1 88931
2814.5 v1 88931
1334.5 v1 88963
1739.0 v1 88963
2250.75 v1 88963
64.0 v1 89005
326.5 v1 89005
522.0 v1 89005
1095.75 v1 89005
1280.0 v1 89005
1624.75 v1 89005
2469.0 v1 89005
2610.75 v1 89005
2923.75 v1 89005
1511.75 v1 89033
2575.25 v1 89033
135.75 v1 89102
510.5 v1 89102
956.0 v1 89102
1133.5 v1 89102
1294.0 v1 89102
1559.5 v1 89102
1882.0 v1 89102
2378.5 v1 89102
2837.0 v1 89102
1077.0 v1 89131
2862.5 v1 89131
317.5 v1 89170
662.25 v1 89205
2688.0 v1 89205
871.5 v1 89295
1407.0 v1 89295
1897.25 v1 89295
2611.5 v1 89295
982.75 v1 89524
1619.25 v1 89524
1007.5 v1 89558
1315.0 v1 89592
2755.25 v1 89592
808.75 v1 89617
1655.0 v1 89617
2053.25 v1 89617
2384.25 v1 89617
2876.25 v1 89617
427.75 v1 89696
533.25 v1 89696
1099.75 v1 89696
1725.0 v1 89696
1929.75 v1 89696
2268.75 v1 89696
2490.0 v1 89696
328.75 v1 89725
989.25 v1 89725
2034.0 v1 89725
1702.0 v1 89751
2219.0 v1 89751
1696.75 v1 89845
2574.5 v1 89845
2926.0 v1 89873
982.25 v1 89952
1087.25 v1 89970
722.75 v1 90019
1236.0 v1 90070
1705.25 v1 90093
458.5 v1 90125
1112.0 v1 90125
2034.25 v1 90125
2963.0 v1 90125
604.25 v1 90168
1355.75 v1 90168
1505.0 v1 90168
1776.25 v1 90168
2535.5 v1 90168
2827.25 v1 90168
2733.75 v1 90282
415.5 v1 90358
1711.25 v1 90358
114.75 v1 90395
643.75 v1 90395
1305.25 v1 90395
1726.25 v1 90395
1954.75 v1 90395
2434.25 v1 90395
189.25 v1 90448
764.25 v1 90448
1180.75 v1 90448
1565.75 v1 90448
1987.0 v1 90448
2164.0 v1 90448
2462.5 v1 90448
866.5 v1 90467
571.25 v1 90537
905.75 v1 90537
2108.0 v1 90537
2383.0 v1 90537
2932.5 v1 90537
158.5 v1 90558
1010.5 v1 90558
1508.75 v1 90558
1928.75 v1 90558
99.5 v1 90662
811.0 v1 90662
1073.25 v1 90662
1409.75 v1 90662
2637.25 v1 90662
2968.25 v1 90662
714.25 v1 90697
90.0 v1 90728
477.75 v1 90728
195.5 v1 90759
372.5 v1 90759
641.75 v1 90759
911.75 v1 90759
1054.0 v1 90759
1677.0 v1 90759
2030.75 v1 90759
2643.5 v1 90759
2809.0 v1 90759
2041.75 v1 90785
565.0 v1 90902
1144.0 v1 90902
1543.0 v1 90902
2477.5 v1 90902
2781.5 v1 90902
385.25 v1 90959
768.75 v1 90959
1062.0 v1 90959
1223.75 v1 90959
1686.25 v1 90959
2254.25 v1 90959
2577.5 v1 90959
2972.25 v1 90959
827.25 v1 90988
1242.5 v1 90988
2625.75 v1 90988
198.5 v1 91019
353.75 v1 91019
766.25 v1 91019
944.5 v1 91019
1246.25 v1 91019
1580.5 v1 91019
2000.25 v1 91019
2729.0 v1 91019
2959.25 v1 91019
2306.0 v1 91088
434.0 v1 91115
1514.5 v1 91115
1931.75 v1 91115
2412.5 v1 91115
1276.75 v1 91141
2322.75 v1 91176
1076.25 v1 91212
1993.25 v1 91212
2876.75 v1 91212
1087.75 v1 91239
2384.75 v1 91305
434.75 v1 91423
351.5 v1 91526
496.75 v1 91526
1024.75 v1 91526
2295.5 v1 91526
2752.0 v1 91526
1361.5 v1 91550
421.0 v1 91612
1884.0 v1 91612
2770.75 v1 91612
868.75 v1 91674
2812.5 v1 91674
270.25 v1 91718
890.75 v1 91718
1505.25 v1 91718
1902.75 v1 91718
1069.75 v1 91753
1931.25 v1 91753
2567.5 v1 91753
550.25 v1 91799
1088.25 v1 91799
1455.5 v1 91799
1893.25 v1 91799
2207.75 v1 91799
2791.75 v1 91799
1242.0 v1 91828
2483.75 v1 91903
632.25 v1 91972
1121.5 v1 91972
1353.5 v1 91972
1985.25 v1 91972
2317.75 v1 91972
2651.25 v1 91972
622.0 v1 92005
1139.75 v1 92005
2569.75 v1 92005
2047.0 v1 92045
2712.0 v1 92045
1636.25 v1 92083
469.5 v1 92109
936.75 v1 92109
312.25 v1 92133
1054.0 v1 92133
1620.5 v1 92133
1953.25 v1 92133
2957.5 v1 92133
899.5 v1 92159
1967.25 v1 92159
2399.0 v1 92159
2740.5 v1 92159
205.25 v1 92349
1137.25 v1 92349
1343.75 v1 92349
1807.0 v1 92349
2215.25 v1 92349
2758.0 v1 92349
2945.0 v1 92380
1364.0 v1 92435
361.75 v1 92469
2347.0 v1 92469
828.5 v1 92584
1348.5 v1 92620
1510.25 v1 92620
1833.75 v1 92620
446.25 v1 92673
949.75 v1 92673
2957.25 v1 92673
816.25 v1 92711
1235.5 v1 92711
1692.0 v1 92711
2037.5 v1 92711
2930.0 v1 92711
1135.25 v1 92736
1597.5 v1 92819
2000.5 v1 92819
269.5 v1 92911
1202.25 v1 92911
1366.5 v1 92911
1728.5 v1 92911
2150.0 v1 92911
2698.0 v1 92911
372.75 v1 92948
591.25 v1 92948
1599.5 v1 92948
1886.0 v1 92948
2873.25 v1 92948
1218.5 v1 93010
1231.75 v1 93096
1607.25 v1 93160
2446.5 v1 93185
976.0 v1 93216
1674.25 v1 93216
2293.75 v1 93216
837.5 v1 93300
1260.25 v1 93300
2521.25 v1 93300
926.25 v1 93355
2242.25 v1 93355
2711.0 v1 93355
2896.75 v1 93355
484.25 v1 93404
973.5 v1 93404
1065.0 v1 93404
1356.25 v1 93404
1560.25 v1 93404
1720.5 v1 93404
1924.75 v1 93404
2403.5 v1 93404
2727.25 v1 93404
1152.25 v1 93475
2442.5 v1 93504
1289.75 v1 93538
2454.25 v1 93538
116.0 v1 93598
368.25 v1 93598
990.75 v1 93598
1508.0 v1 93598
2019.5 v1 93598
2185.0 v1 93598
2543.0 v1 93598
302.75 v1 93633
1784.5 v1 93633
2566.5 v1 93633
1353.5 v1 93689
2440.5 v1 93689
116.0 v1 93713
401.0 v1 93713
449.5 v1 93779
1151.0 v1 93817
1535.75 v1 93842
1156.75 v1 93863
1356.0 v1 93863
278.75 v1 93925
827.5 v1 93925
930.0 v1 93925
1299.0 v1 93925
1823.25 v1 93925
2434.25 v1 93925
2859.5 v1 93925
713.75 v1 93973
2609.5 v1 94007
387.0 v1 94064
1787.75 v1 94064
2892.0 v1 94064
750.25 v1 94218
1146.25 v1 94218
1305.75 v1 94218
1719.75 v1 94218
2188.75 v1 94218
1033.0 v1 94313
145.25 v1 94425
1682.75 v1 94425
1577.0 v1 94464
171.0 v1 94522
1087.5 v1 94522
122.5 v1 94582
526.5 v1 94582
793.25 v1 94582
1329.0 v1 94582
1825.75 v1 94582
2332.75 v1 94582
2575.0 v1 94582
1371.25 v1 94616
1148.25 v1 94701
1765.25 v1 94701
2777.0 v1 94701
2073.0 v1 94758
1112.25 v1 94813
2462.5 v1 94813
2400.75 v1 94848
1184.0 v1 94874
397.75 v1 94906
2706.5 v1 94906
889.25 v1 94941
1157.25 v1 94979
122.25 v1 95015
594.5 v1 95015
1383.5 v1 95015
2409.25 v1 95015
2820.5 v1 95015
353.75 v1 95039
826.75 v1 95039
1280.0 v1 95039
1604.75 v1 95039
1833.0 v1 95039
1982.0 v1 95039
2350.5 v1 95039
2998.0 v1 95039
2195.25 v1 95096
542.5 v1 95130
1108.25 v1 95130
223.75 v1 95225
1703.75 v1 95225
2564.0 v1 95339
298.5 v1 95379
661.5 v1 95379
1939.75 v1 95379
2068.5 v1 95379
2352.25 v1 95379
2690.25 v1 95379
837.5 v1 95415
1098.25 v1 95415
2355.75 v1 95415
952.25 v1 95448
2556.25 v1 95448
2732.5 v1 95448
259.25 v1 95480
1616.5 v1 95480
2845.5 v1 95480
114.0 v1 95701
951.25 v1 95701
1183.0 v1 95701
1649.25 v1 95701
1935.75 v1 95701
1207.5 v1 95855
2813.0 v1 95855
444.25 v1 95910
1011.25 v1 95910
1365.75 v1 95910
1748.25 v1 95910
2130.0 v1 95910
2633.0 v1 95910
2890.25 v1 95910
288.0 v1 96049
692.5 v1 96049
1040.75 v1 96049
1142.75 v1 96049
1283.0 v1 96049
1786.75 v1 96049
1942.75 v1 96049
2497.5 v1 96049
2699.0 v1 96049
2703.25 v1 96081
525.5 v1 96115
1242.0 v1 96115
1916.5 v1 96115
1148.5 v1 96140
1982.5 v1 96140
2061.5 v1 96160
892.5 v1 96231
1757.5 v1 96231
2714.75 v1 96231
324.75 v1 96263
1163.25 v1 96263
2050.0 v1 96263
2559.75 v1 96263
130.5 v1 96282
487.75 v1 96282
879.5 v1 96282
1101.0 v1 96282
1518.0 v1 96282
1037.5 v1 96306
399.5 v1 96354
1252.25 v1 96354
1487.0 v1 96354
1905.5 v1 96354
903.25 v1 96437
1114.0 v1 96437
193.0 v1 96524
842.5 v1 96524
1524.5 v1 96524
2082.75 v1 96524
2211.5 v1 96549
1794.0 v1 96571
2660.25 v1 96571
155.75 v1 96709
1648.5 v1 96709
943.75 v1 96863
1471.0 v1 96915
459.75 v1 97005
749.75 v1 97005
1053.5 v1 97005
1605.5 v1 97005
2099.75 v1 97005
340.25 v1 97056
639.5 v1 97056
1200.5 v1 97056
1689.5 v1 97056
1934.5 v1 97056
905.0 v1 97143
2415.75 v1 97143
2150.5 v1 97184
950.0 v1 97213
1142.75 v1 97245
927.25 v1 97476
2668.25 v1 97476
1273.75 v1 97545
1936.25 v1 97545
2812.5 v1 97545
1084.0 v1 97599
1822.75 v1 97599
1481.25 v1 97653
1863.5 v1 97653
458.25 v1 97725
985.5 v1 97725
2044.75 v1 97725
2950.0 v1 97725
1884.25 v1 97752
2233.0 v1 97752
2464.25 v1 97752
2250.0 v1 97833
2298.25 v1 97862
1814.5 v1 97920
2576.5 v1 97920
2943.0 v1 97920
996.0 v1 97991
1221.5 v1 97991
1563.0 v1 97991
1957.25 v1 97991
2445.75 v1 97991
2753.5 v1 97991
670.25 v1 98072
447.25 v1 98101
684.5 v1 98101
1123.5 v1 98101
1639.0 v1 98101
1950.75 v1 98101
2895.25 v1 98101
329.25 v1 98143
2765.0 v1 98183
2009.0 v1 98212
2119.75 v1 98318
689.25 v1 98352
1857.5 v1 98352
2141.75 v1 98352
703.5 v1 98376
1088.25 v1 98376
1890.5 v1 98376
586.0 v1 98446
931.5 v1 98446
1185.75 v1 98446
2150.75 v1 98446
2480.75 v1 98446
2829.5 v1 98446
166.75 v1 98463
355.75 v1 98463
569.5 v1 98463
951.75 v1 98463
1991.5 v1 98463
2459.75 v1 98463
978.75 v1 98510
2461.5 v1 98510
2449.5 v1 98540
1172.5 v1 98667
1557.5 v1 98667
2567.5 v1 98836
2858.0 v1 98836
1144.0 v1 98858
2804.0 v1 98882
401.5 v1 98941
949.5 v1 98941
1139.0 v1 98941
2273.5 v1 98941
2214.0 v1 98999
2982.75 v1 98999
1105.0 v1 99038
2262.5 v1 99038
