timestamps population node_ids
1386.25 v1 16937
489.5 v1 5748
1387.0 v1 5748
497.25 v1 18552
1384.25 v1 18552
2260.0 v1 18552
1390.5 v1 26746
1391.25 v1 17967
480.5 v1 15
1373.5 v1 15
2044.75 v1 15
2954.25 v1 15
485.25 v1 131
1374.25 v1 131
141.5 v1 248
427.25 v1 248
587.25 v1 248
867.25 v1 248
1196.75 v1 248
1379.75 v1 248
1611.5 v1 248
1977.75 v1 248
2248.5 v1 248
2574.75 v1 248
2950.25 v1 248
149.0 v1 457
488.5 v1 457
1200.0 v1 457
1386.5 v1 457
2046.5 v1 457
2951.5 v1 457
485.25 v1 585
1374.25 v1 585
251.75 v1 728
491.5 v1 728
1353.0 v1 728
1618.75 v1 728
2046.0 v1 728
2644.25 v1 728
484.5 v1 822
1372.75 v1 822
250.0 v1 940
489.0 v1 940
1197.25 v1 940
1390.5 v1 940
1741.0 v1 940
2052.25 v1 940
2641.5 v1 940
245.5 v1 1058
483.75 v1 1058
1191.0 v1 1058
1384.5 v1 1058
1735.0 v1 1058
2045.5 v1 1058
2635.75 v1 1058
148.5 v1 1164
479.5 v1 1164
862.75 v1 1164
1345.0 v1 1164
1607.75 v1 1164
2036.0 v1 1164
2633.75 v1 1164
245.5 v1 1336
483.75 v1 1336
869.0 v1 1336
1345.5 v1 1336
1608.5 v1 1336
2037.0 v1 1336
2634.75 v1 1336
245.5 v1 1499
483.75 v1 1499
1191.0 v1 1499
1384.0 v1 1499
1735.0 v1 1499
2045.25 v1 1499
2635.75 v1 1499
245.5 v1 1591
483.75 v1 1591
866.5 v1 1591
1345.5 v1 1591
1608.5 v1 1591
2036.75 v1 1591
2634.5 v1 1591
245.5 v1 1685
483.75 v1 1685
1191.0 v1 1685
1384.5 v1 1685
1735.0 v1 1685
2045.5 v1 1685
2635.75 v1 1685
245.25 v1 1778
483.75 v1 1778
866.0 v1 1778
1345.5 v1 1778
1608.5 v1 1778
2037.0 v1 1778
2634.75 v1 1778
245.25 v1 1908
483.25 v1 1908
865.75 v1 1908
1345.5 v1 1908
1608.5 v1 1908
2036.75 v1 1908
2634.75 v1 1908
245.5 v1 2026
483.75 v1 2026
1191.0 v1 2026
1384.75 v1 2026
1735.0 v1 2026
2045.5 v1 2026
2635.75 v1 2026
245.5 v1 2123
483.75 v1 2123
1191.0 v1 2123
1384.25 v1 2123
1735.0 v1 2123
2045.5 v1 2123
2635.75 v1 2123
245.5 v1 2205
483.75 v1 2205
866.25 v1 2205
1345.5 v1 2205
1608.5 v1 2205
2036.75 v1 2205
2634.5 v1 2205
158.75 v1 2310
480.25 v1 2310
863.25 v1 2310
1345.25 v1 2310
1608.25 v1 2310
2036.75 v1 2310
2634.75 v1 2310
245.5 v1 2404
483.75 v1 2404
867.0 v1 2404
1345.5 v1 2404
1608.5 v1 2404
2037.0 v1 2404
2634.75 v1 2404
245.5 v1 2570
483.75 v1 2570
1191.0 v1 2570
1384.75 v1 2570
1735.0 v1 2570
2045.5 v1 2570
2635.75 v1 2570
245.5 v1 2675
483.75 v1 2675
1191.0 v1 2675
1384.75 v1 2675
1735.0 v1 2675
2045.5 v1 2675
2635.75 v1 2675
245.25 v1 2804
483.75 v1 2804
866.25 v1 2804
1345.5 v1 2804
1608.5 v1 2804
2036.75 v1 2804
2634.75 v1 2804
245.5 v1 2897
483.75 v1 2897
1191.0 v1 2897
1384.5 v1 2897
1735.0 v1 2897
2045.5 v1 2897
2635.75 v1 2897
245.5 v1 3012
483.75 v1 3012
1191.0 v1 3012
1384.75 v1 3012
1735.0 v1 3012
2045.5 v1 3012
2635.75 v1 3012
245.25 v1 3126
483.25 v1 3126
865.75 v1 3126
1345.5 v1 3126
1608.5 v1 3126
2036.75 v1 3126
2634.75 v1 3126
245.25 v1 3328
483.75 v1 3328
865.75 v1 3328
1345.5 v1 3328
1608.5 v1 3328
2037.0 v1 3328
2634.75 v1 3328
148.5 v1 3458
479.25 v1 3458
862.5 v1 3458
1345.0 v1 3458
1608.25 v1 3458
2036.0 v1 3458
2340.0 v1 3458
2949.25 v1 3458
139.75 v1 3569
473.25 v1 3569
757.75 v1 3569
1189.25 v1 3569
1375.5 v1 3569
1609.5 v1 3569
2031.0 v1 3569
2254.25 v1 3569
2635.75 v1 3569
2953.75 v1 3569
139.75 v1 3720
473.25 v1 3720
757.5 v1 3720
1189.25 v1 3720
1375.5 v1 3720
1609.5 v1 3720
2031.0 v1 3720
2271.75 v1 3720
2636.25 v1 3720
2954.5 v1 3720
139.75 v1 3853
473.25 v1 3853
757.75 v1 3853
1189.25 v1 3853
1375.5 v1 3853
1609.5 v1 3853
2031.0 v1 3853
2272.5 v1 3853
2636.25 v1 3853
2955.0 v1 3853
139.75 v1 3970
473.25 v1 3970
757.75 v1 3970
1189.25 v1 3970
1375.5 v1 3970
1609.5 v1 3970
2031.0 v1 3970
2277.0 v1 3970
2636.25 v1 3970
2955.75 v1 3970
139.75 v1 4091
473.25 v1 4091
757.5 v1 4091
1189.25 v1 4091
1375.0 v1 4091
1609.25 v1 4091
